Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,11,22.450000000000003,34.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,11,18.400000000000002,108.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,11,14.650000000000002,181.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,11,19.950000000000003,111.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,11,25.800000000000004,94.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,12,24.700000000000003,203.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,12,25.400000000000002,85.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,12,27.200000000000003,62.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,12,25.5,110.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,12,24.400000000000002,266.0
